bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Hugo Gent,Fifty-Fifty (Paris),White Negroni,40ml of Beefeater Gin,20ml of Cocchi Americano Vermouth,30ml of Suze Saveur d’Autrefois,NA,NA,NA,NA,NA,NA
Hugo Gent,Fifty-Fifty (Paris),Aguardiente,45ml of Vale Verde Cachaça 3 years old,10ml of Pandan Syrup,10ml of Frangelico Liqueur,10ml of Dolin Dry Vermouth,NA,NA,NA,NA,NA
Ian Mcintyre,Nola (London),Perfect Manhattan,50ml of Rye whisky,10ml of dry vermouth,10ml of sweet vermouth,2 barspoons of luxardo cherries syrup,2 dashes angustura bitters,1 dash of absinthe,NA,NA,NA
Ian Mcintyre,Nola (London),Elysian Fields,35ml of blended scotch,35ml of mancino vermouth,15ml of fino sherry,1 dash of peach bitters,NA,NA,NA,NA,NA
Ilan Kavak,Blind Pig (London),Treacle,60ml of dark rhum,50ml of apple juice,10ml of simple syrup,2 dashes of angostura bitters,NA,NA,NA,NA,NA
Ilan Kavak,Blind Pig (London),Mezcalito,50ml of Vida mezcal,25ml of lime juice,20ml of homemade ginger syrup,2 dashes of orange bitter,10ml of apricot brandy,NA,NA,NA,NA
Ivan Avellaneda,Candelaria (Paris),Toronto,50ml of Rye whiskey Mitchers,10ml of Fernet Branca,1 barspoon of gumsyrup,2 dashes of dandelion bitters,NA,NA,NA,NA,NA
Ivan Avellaneda,Candelaria (Paris),Mother’s julep,40ml of vodka Absolut Exlyx,15ml of Suze,25ml of passionfruit shrub,20ml of lemon,4 dashes of pastis,NA,NA,NA,NA
Jacob Van Hemessen,Blind Pig (London),Sazerac twist,35ml of Martel VSOP,15ml of Balcones Brimstone whisky,20ml of Cocchi vermouth di Torino,5ml of sugar syrup,2 dashes of peychaud bitters,2 dashes of orange bitters,NA,NA,NA
Jacob Van Hemessen,Blind Pig (London),Pursuit of Hoppiness,35ml of Moonshine Kid Gin,25ml of lemon juice,15ml of grapefruit sorbet,A splash of india pale ale,NA,NA,NA,NA,NA
Javier Sham Lourenco,Sherry Butt (Paris),Mystic Rivers (bamboo twist),20ml of Yoichi 15 years old,25ml  of madeira dry infused with pandan,15ml of vermouth dry,10ml of manzanilla sherry,Barspoon of coffee and lapsong souchong,1 dash of vanilla bitters,NA,NA,NA
Javier Sham Lourenco,Sherry Butt (Paris),Le laid,30ml of Calvados,25ml of chaï syrup with soy milk and spices,20ml of lemon,1 dash of vanilla bitters,NA,NA,NA,NA,NA
Jay Khan,COA (Hong Kong),Paloma,15ml of Tequila,15ml of Mezcal,5ml of Lime Juice,Top with Grapefruit Soda,Rim with Worm Salt,NA,NA,NA,NA
Jay Khan,COA (Hong Kong),Orchata de Pistachio,40ml of Tequila,20ml of Orchata,20ml of Pistachio Orgeat,20ml of Lemon Juice,10ml of Whey,NA,NA,NA,NA
Jay Smith,Reverand JW Simpson (London),Larder batch (Twist of old fashioned),60ml of Bourbon Four Roses small batch,15ml of Pinot noir reduction (cardamon and pink peppercorns),1 dash of Angustura bitters,NA,NA,NA,NA,NA,NA
Jay Smith,Reverand JW Simpson (London),Fir Douglas Rathbone Esquire,20ml of Rathbone gin,30ml of home made Fir Douglas liquor,20ml of lemon juice,7ml of mapple syrup,Spray of bergamot oil,NA,NA,NA,NA
Jen Riley,Red House (Paris),Andiamo White Sands,30ml of Tequila Reposado,15ml of Salers,15ml of Cocchi Americano,1 Barspoon of Agave Syrup,NA,NA,NA,NA,NA
Jen Riley,Red House (Paris),Nightbird,30ml of Laphroaig Quarter Cask,20ml of Talisker Skye,0.5ml of Gum Syrup with Calvados and Cider,5 dashes of Violet Cream,2 drops of Teapot Bitters,1 Spray of Bergamot Essence,NA,NA,NA
