bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Aaron Wall,Homeboy (London),Whiskey Smash,40ml of Roe & Co Irish Whiskey,20ml of Noilly Prat Dry Vermouth,20ml of Mint and Spinach Syrup,3 Dashes of Orange Bitters,NA,NA,NA,NA,NA
Aaron Wall,Homeboy (London),Wogan,40ml of Teeling Small Batch Irish Whiskey,10ml of Apricot Brandy,15ml of Lime,15ml of Simple Syrup,3 Dashes of Saline Solution,NA,NA,NA,NA
Adam Caron,Symbiose (Bordeaux),Perfect Manhattan,45ml of Rye Whiskey 100 Proof Rittenhouse,25ml of La Quintinye Dry Vermouth,15ml of Pineau des Charentes Rémi Landier 10 Yr Old,10ml of House Red Blend Vermouth,2 dashes of Angostura bitters,1/2barspoon of Luxardo Maraschino,NA,NA,NA
Adam Caron,Symbiose (Bordeaux),Krispies Trip,25ml of Puffed Rice Syrup,15ml of Lemon Juice,15ml of Sochu infused with Genmaicha Yama,30ml of Floc de Gascogne infused with Pandan,20ml of Aquafaba,30ml of Gin,NA,NA,NA
Adam McMahon,Frontier Room (London),Old Fashioned,50ml of Eagle Rare ten year bourbon,1 dash of Angustura bitters,5 ml of demerara sugar syrup,NA,NA,NA,NA,NA,NA
Adam McMahon,Frontier Room (London),Black Pearl,50ml of Eldorado 12,25ml of Meantime Stout,10ml of demerara sugar,Hickory smoke,NA,NA,NA,NA,NA
Aidan Bowie,NA,Garden Lady,30ml of Tanqueray Tne Gin,10ml of Seedlip Garden 108,25ml of Egg White,15ml of Lemon,10ml of Lime,10ml of Cocchi Americano infused with Hops,10ml of Simple Syrup,3 dashes of Absinthe,NA
Aidan Bowie,NA,Smoken Miso,50ml of Johnnie Walker Gold Label,5ml of Banana Liqueur,5ml of Roasted Miso Syrup,3 dashes of Smoked Chocolate Bitters,NA,NA,NA,NA,NA
D,NA,Garden Lady,30ml of Tanqueray Tne Gin,10ml of Seedlip Garden 108,25ml of Egg White,15ml of Lemon,10ml of Lime,10ml of Cocchi Americano infused with Hops,10ml of Simple Syrup,3 dashes of Absinthe,NA
D,NA,Smoken Miso,50ml of Johnnie Walker Gold Label,5ml of Banana Liqueur,5ml of Roasted Miso Syrup,3 dashes of Smoked Chocolate Bitters,NA,NA,NA,NA,NA
Alberto Fernandez,Hotel Alfonso XIII The Luxury Collection (Seville),The Last Cocktail (French 75 twist),50ml of Gin Mare,30ml of Fresh Lemon Juice,1 Barspoon of Rosemary Infusion,35ml of Pear Juice,Top with Champagne,NA,NA,NA,NA
Alberto Fernandez,Hotel Alfonso XIII The Luxury Collection (Seville),El viajero,45ml of Ciroc Vodka,12.5ml of Grand Marnier Liqueur,45ml of Lemon Verbena,25ml of Lemon Juice,10ml of Cardamon Syrup,NA,NA,NA,NA
Alberto Martinez,1862 Dry Bar (Madrid),The Last Cocktail (French 75 twist),50ml of Gin Mare,30ml of Fresh Lemon Juice,1 Barspoon of Rosemary Infusion,35ml of Pear Juice,Top with Champagne,NA,NA,NA,NA
Alberto Martinez,1862 Dry Bar (Madrid),El viajero,45ml of Ciroc Vodka,12.5ml of Grand Marnier Liqueur,45ml of Lemon Verbena,25ml of Lemon Juice,10ml of Cardamon Syrup,NA,NA,NA,NA
Aleksandra Dziubak,Marlowe Bar (Barcelona),Dirty Martini,80ml of Jackal Vodka,4 dashes of Noilly Prat Dry Vermouth,3 Crushed Olives,NA,NA,NA,NA,NA,NA
Aleksandra Dziubak,Marlowe Bar (Barcelona),Pan con Tomate,60ml of Clarified mix of Tomato Juice and Bread Syrup,40ml of Kensho Spanish Sake,20ml of Tio Pepe Fino Sherry,10ml of Lacto Fermented Water,NA,NA,NA,NA,NA
Alex Lawrence,Dandelyan (London),London Calling,20ml of Lemon Juice,10ml of Fino Sherry Tio Pepe,50ml of Porters Gin,2 Dashes of Reagan’s Orange Bitters,NA,NA,NA,NA,NA
Alex Lawrence,Dandelyan (London),Canon Cosmo,45ml of Ketel One Citroen,35ml of Pink and Sour Mix,25ml of Flamed Orange with Almond,NA,NA,NA,NA,NA,NA
Alexis Argyrou,NA,Daiquiri,60ml of Bacardi Carta Blanca,25ml of Lime Juice,10ml of Simple Syrup,NA,NA,NA,NA,NA,NA
Alexis Argyrou,NA,The Clockstopper,50ml of Bacardi Carta Blanca,30ml of Pineapple Cordial,4 drops of Skinos Mastiha Spirits,1 drop of Aromatic bitters,Half a pinch of Salt,NA,NA,NA,NA
Ali Ali,Oriole (London),Peranakan Fizz,40ml of Gin,25ml of Fermented Marzipan,20ml of Kefir,10ml of Poppy Flower Cordial,80ml of Pandan Kombucha,NA,NA,NA,NA
Ali Ali,Oriole (London),House Negroni,40ml of Gin,30ml of Campari,15ml of Homemade Blend Sweet Vermouth,15ml of Resin Wine,NA,NA,NA,NA,NA
Amanda Boucher,Pas de Loup (Paris),Whisky Rickey,2 bar spoons of powder sugar,60 ml of bourbon four roses small batch,30 ml of lime,Top with soda,NA,NA,NA,NA,NA
Amanda Boucher,Pas de Loup (Paris),Dis donc,45ml of Noilly prat infuse with tarragon,45ml of organic vouvray,2 spray of strega,2 dashes of vieux pontarlier (absinthe),NA,NA,NA,NA,NA
Amaury Guyot,Dersou (Paris),Poppy fields,30ml of gin,15ml of hazelnut syrup,5ml of chinese pomelo,10ml of fino sherry,20ml of lemon,NA,NA,NA,NA
Andrea Benvegna,Waeska Bar at The Mandrake (London),Bamboo,45ml of Tio Pepe Sherry Fino En Rama,"45ml of a Blend of Vermouth (Dry, Extra Dry and White)",2 drops of Angostura Bitters,NA,NA,NA,NA,NA,NA
Andrea Benvegna,Waeska Bar at The Mandrake (London),Mandrake Martini,35ml of Grey Goose Vodka,40ml of Clarified Geneper Milk,2 drops of Mandrake Bitters,NA,NA,NA,NA,NA,NA
Andrea Melis,The Edition Hotel (London),Fanciulli Manhattan,50ml of Rittenhouse 100 rye whiskey,12.5ml of Antica Formula,12.5ml of Punt e Mes,3 dashes of Fernet Branca,NA,NA,NA,NA,NA
Andrea Melis,The Edition Hotel (London),War of the roses,50ml of Tanqueray Ten gin,12.5ml of rosehip sacred cup liqueur,12.5ml of Campari,12.5ml of Sancerre rosé homemade syrup,25ml of lime,3 dashes of peychaud bitter,NA,NA,NA
Andrea Patelli,Little Quarter (Stockholm),Rock and Rye,70ml of Rittenhouse 100 Proof Rye whiskey,1 barspoon of home made rock candy syrup,2 dashes angustura,2 dashes oranges bitter,NA,NA,NA,NA,NA
Andrea Patelli,Little Quarter (Stockholm),By the book,70ml of ron superior Bacardi,1 barspoon of honey water,1 barspoon of green chartreuse,1 dash of orange flower water,Glass rince with absinthe,NA,NA,NA,NA
Anthony di Lorenzo,CHC Arba (Genova),Bobby Burns,5ml of Benedictine,20ml of Antica Formula Vermouth,50ml of Chivas 12 Year Old Whisky,NA,NA,NA,NA,NA,NA
Anthony di Lorenzo,CHC Arba (Genova),Ruby,30ml of Linie Aquavit,15ml of Homemade Sherry,20ml of Campari,15ml of Benedictine,2 dashes of Absinthe,​,NA,NA,NA
Antonio Lai,Quinary (Hong Kong),Gimlet,60ml of Gin,30ml of Oolong Tea Cordial,NA,NA,NA,NA,NA,NA,NA
Antonio Lai,Quinary (Hong Kong),Earl grey caviar Martini,45ml of Citrus Vodka,10ml of Cointreau,20ml of Apple Juice,5ml of Lemon,5ml of Lime,15ml of Elderflower Syrup,Top with Tea Caviar,NA,NA
Antonio Naranjo,Dr. Stravinsky (Barcelona),Overproof Daiquiri,40ml of Bacardi Carta Blanca,25ml of Nation Jamaican Blanca Rum,45ml of Lime Juice,25ml of Simple Syrup,NA,NA,NA,NA,NA
Antonio Naranjo,Dr. Stravinsky (Barcelona),Anna Karina,45ml of Vodka,80ml of kombucha (Passion Fruit and Mango),25ml of Beer Syrup,NA,NA,NA,NA,NA,NA
Aristotelis Makris,Le Syndicat (Paris),Tu es le seul qui maille,20ml of Lemon,20ml of Pineapple Mustard Syrup,15ml of Egg White,10ml of Apricot Brandy,10ml of White Sauvignon,45ml of Bellevoye Whisky,1 dash of Orange Bitter,NA,NA
Aristotelis Makris,Le Syndicat (Paris),Drop the Beet,20ml of Lemon,20ml of Honey and Ginger Syrup,20ml of Bonal,40ml of Fresh Beetroot Juice,45ml of Calvados,NA,NA,NA,NA
Arthur Combe,Marrow (Paris),Sir Alex,45ml of Plantation Pineapple Rum,20ml of Lime,15ml of Vergeoise,2 dashes of Ginger Bitters,NA,NA,NA,NA,NA
Arthur Combe,Marrow (Paris),Vieux Rectangle,2 dashes of Angostura Bitters,2 dashes of Peychaud Bitters,2 dashes of Absinthe,15ml of Dolin Red Vermouth,15ml of Aperol,40ml of Jean Grosperrin VSOP Cognac,NA,NA,NA
Aubin Arhuero,Tiger (Paris),Negroni,30ml of Christian Drouin Gin,30ml of 30&40 Normandy Pommeau,20ml of Punt e Mes,1 barspoon of benedictine,1 dash of solution saline,Rinced glass with Salers,NA,NA,NA
Aubin Arhuero,Tiger (Paris),Bloody Hulk,30ml of Gin,30ml of Lime,20ml of Green Chartreuse,40ml of Cordial with absinthe lemongrass fennel and dill,Crush cucumber,Rinced glass with Absinthe,NA,NA,NA
Aurélie Panhelleux,Copperbay (Paris),White Negroni,30ml of White Dolin,30ml of Suze d’Autrefois,3 sprays of Absinthe,3 dashes of Orange Flower Water,NA,NA,NA,NA,NA
Aurélie Panhelleux,Copperbay (Paris),Dionysos,40ml of Scotch Whisky,1 barspoon of Smoked Whisky,20ml of Skinos Mastiha,10ml of Green Chartreuse,20ml of Lemon Juice,10ml of Gum Syrup,1 Egg White,10ml of Sauvignon Blanc,NA
Bar Shira,Imperial Craft (Tel Aviv),Kalingo Old Fashioned,15ml of Bacardi 8,15ml of Rum Angostura 7,15 ml of Rum Zacapa 23,15ml of Meyer’s Rum,5ml of Pineapple Syrup,1 dash of Bittermens Tiki Bitters,NA,NA,NA
Bar Shira,Imperial Craft (Tel Aviv),El Camello Loco (cocktail for the Bacardi Legacy 2016),45ml of Bacardi,30ml of Martini rosso,30ml of Lime,20ml of Sugar Syrup,90ml of Pilsner Lager,NA,NA,NA,NA
Bart Miedeksza,High Water (London),Last Word,25ml of Beefeater Gin,25ml of Lime Juice,25ml of Green Chartreuse,25ml of Luxardo Maraschino,NA,NA,NA,NA,NA
Bart Miedeksza,High Water (London),Caravan,3 dashes of Bobs Lavander Bitters,10ml of Lime Juice,10ml of Grapefruit Juice,5ml of Honey Syrup,15ml of St Germain,40ml of The Botanist Gin,NA,NA,NA
Ben Tyler,Bonhomie (Paris),Rhum Fraise et Dolce Vita,"40ml of Blended Rum (Sherman Spice, Wray & Nephew, La Perle A1710)",20ml of Fermented Strawberry and Rosemary Syrup,10ml of Tagliatella Amaro,15ml of Lime,Top with Mastiha Water,NA,NA,NA,NA
Ben Tyler,Bonhomie (Paris),Panarima,15ml of Punt e Mes,30ml of Scotch Whisky,5ml of Koch Mezcal Olla de Barro,10 dashes of Sumac Tincture,NA,NA,NA,NA,NA
Ben Wilson,Lulu White (Paris),Old Hickory,45ml of Baldoria White Vermouth,15ml of Malvasia Madeira,3 dashes of Oranges Bitters,2 dashes of Absinthe,NA,NA,NA,NA,NA
Ben Wilson,Lulu White (Paris),Gaynor Chance,30ml of Suze,15ml of Oxidative Wine,10ml of Celery Juice,15ml of Verjus,20ml of Fenugrec Syrup,An inch of Nutmeg,NA,NA,NA
Bruce Govia,FAM (London),The Ridgwell,25ml of Maker’s Mark Bourbon,20ml of Rittenhouse Rye Whiskey,20ml of Blended House Sweet Vermouth,5ml of Braemble Gin Liqueur,1 dash Regan’s Orange Bitters,1 dash of Angostura Bitters,NA,NA,NA
Bruce Govia,FAM (London),Ten push-ups,35ml of Mount Gay Black Barrel Dark Rum,15ml of Fair Café Liqueur,25ml of Fresh Espresso,10ml of House made Falernum,NA,NA,NA,NA,NA
Bui Hoang Nguyen,Mad Botanist (Hanoi),Negroni,25ml of Boodles Gin,25ml of Martini Rosso,25ml of Campari,NA,NA,NA,NA,NA,NA
Bui Hoang Nguyen,Mad Botanist (Hanoi),Bacalao,50ml of Gin infused with Magie d’Orient Tea,25ml of Roselle Switchel,15ml of Luxardo Maraschino,15ml of Lime Juice,1 Egg White,NA,NA,NA,NA
Byly Tran,Basement Sate (London,Old fashioned twisted with cognac,Barspoon of sugar syrup,3 dashes of grapefruit bitters,45ml of Cognac,Twist of Orange,NA,NA,NA,NA,NA
Byly Tran,Basement Sate (London,The Leaf,20ml of lemon,20 ml of sage with aguava honey syrup,15ml of fresh celery juice,45ml of white rum,Dash of orange bitters,Dash of celery bitters,NA,NA,NA
Cecelia Angiulli,Gocce (Paris),Amore Amaro : Twist of Campari Shakerato,90ml of Campari,15ml of fresh grapefruit juice,"Foam of punt e mes, vodka and sucro",NA,NA,NA,NA,NA,NA
Cecelia Angiulli,Gocce (Paris),Scomponibile,45ml of Mezcal,30ml of fresh orange juice,25ml of home made honey syrup with thyme,1/2 a yellow lemon,Pint of Himalayan salt,NA,NA,NA,NA
Cedric Allen Mendoza,Manhattan (Singapore),Kerman,50ml of Tequila Ocho,30ml of Pistachio Syrup,25ml of Lime Juice,NA,NA,NA,NA,NA,NA
Cedric Allen Mendoza,Manhattan (Singapore),First Voyage,25ml of Mancino Vecchio Vermouth,25ml of Rutte Old Simon Gin,15ml of Penfold’s Father Port Wine,5ml of Luxardo Maraschino,2 dashes of Orange Bitters,NA,NA,NA,NA
Charlinsky Perez,La Gintoneria (San Sebastian),Gin and Tonic,60ml of Citadelle Gin,1 dash of Cardamon Bitters,1 Grapefruit,1 Star Anise,1 Green Lemon Peel,1 Orange Peel,1 Drop of Moon Spray Lemon,200ml of Le Tribute Tonic Water,NA
Charlinsky Perez,La Gintoneria (San Sebastian),Gabarron,2 Barspoons of Apricot Marmalade,4 mint leaves,60ml of Botran Dark Rum 12 years,35ml of Drambuie,25ml of Sweet and Sour (Sugar & Lemon),15ml of Pierre-Ferrand Triple Sec,Top with Ginger Beer,NA,NA
Charmaine Thio,28 Hong Kong Street (Singapore),The Instant Star,45ml of Pisco infused with Dill,15ml of Pineapple Gum,15ml of Lemon Juice,15ml of Aperol,Top with Beer,NA,NA,NA,NA
Chiara Beretta,NA,Fargo,15ml of Lime Juice,20ml of Saffron Syrup,25ml of Punt e Mes,45ml of Campari,Shake with Mint,Top with Sage Soda,NA,NA,NA
Chiara Beretta,NA,Santiago,30ml of Lemon Juice,15ml of Cumin Syrup,50ml of Tequila,45ml of Fresh Celery Extract,1 dash of Soda Water,NA,NA,NA,NA
Chloe Serra,Pas de Loup (Paris),A la Louisiane,30ml of Rye whisky,30ml of benedictine,30ml of red vermouth,4 dashes of peychaud bitter,3 dashes of absinthe,NA,NA,NA,NA
Chloe Serra,Pas de Loup (Paris),Sale gosse,50ml  of sesame bourbon infused,15ml of Suze,20ml of lemon,20ml of vanilla syrup,NA,NA,NA,NA,NA
Chris Moore,Coupette (London),Champagne Pina Colada,20ml of Bacardi Heritage,10ml of 3 Rivières White Rum,35ml of Pineapple Cordial,3 Scoops of Coconut Sorbet,75ml of Champagne,NA,NA,NA,NA
Chris Moore,Coupette (London),Apples,30ml of Calvados of the month,90ml of Apple juice of month,NA,NA,NA,NA,NA,NA,NA
Christophe Sichanh,Le Calbar (Paris),Dirty martini,20ml of Noilly prat to rinse the ice,60ml of Tanqueray ten gin,20ml of olive juice,1 lemon twist,NA,NA,NA,NA,NA
Christophe Sichanh,Le Calbar (Paris),1986,40ml of Nikka from the barrel,15ml of infused vodka with chrysanthemum,20ml of vermouth del professor white,10ml of sherry heering,1 maraschino cherry,NA,NA,NA,NA
Colin Edie,Lidkoeb (Copenhagen),Green and White,30ml of Dill Akvavit,30ml of Cocoa Cream,30ml White Chocolate Cream,Licorice Dust,NA,NA,NA,NA,NA
Colin Edie,Lidkoeb (Copenhagen),Rita’s Sjus,45ml of Rosemary Infused Don Julio Tequila,15ml of Galliano Autentico,20ml of Agave Syrup,20ml of Lemon Juice,Top with IPA,NA,NA,NA,NA
Constanca Cordeiro,Peg + Patriot (London),Fishermans daughter,20ml of Tapatio Blanco Tequila,20ml of Tio Pepe,20ml of Rectified Campari,15ml of Pennyroyal and Thyme Syrup,"5ml of Salt, Vinegar and Citric Acid Mix",Top with Tonic,NA,NA,NA
Constanca Cordeiro,Peg + Patriot (London),The Comeback,40ml of Cognac,15ml of Apricot Brandy,5ml of Fernet Branca,7.5ml of Maple Shrub,NA,NA,NA,NA,NA
